subject,difficulty,question,option1,option2,option3,option4,answer,explanation
general-knowledge,easy,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,Tokyo,Tokyo is the capital of Japan.
general-knowledge,easy,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Human,Blue Whale,The Blue Whale is the largest mammal on Earth.
general-knowledge,easy,How many continents are there?,7,6,5,8,7,"There are seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia."
general-knowledge,medium,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,Leonardo da Vinci,Leonardo da Vinci painted the Mona Lisa.
general-knowledge,medium,What is the chemical symbol for gold?,Au,Ag,Fe,O,Au,"The chemical symbol for gold is Au, from the Latin word 'aurum'."
general-knowledge,medium,In which year did the Titanic sink?,1912,1920,1905,1931,1912,"The Titanic sank on April 15, 1912"
general-knowledge,hard,What is the longest river in the world?,Nile River,Amazon River,Yangtze River,Mississippi River,Nile River,"While the Amazon is often cited, the Nile is traditionally considered the longest."
general-knowledge,hard,What is the largest country by area?,Russia,Canada,China,USA,Russia,Russia is the largest country in the world by land area.
general-knowledge,easy,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,William Shakespeare,William Shakespeare is the author of 'Romeo and Juliet'.
general-knowledge,easy,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,Canberra,"Canberra is the capital of Australia, not Sydney."
general-knowledge,medium,Which planet is known as the 'Red Planet'?,Mars,Venus,Jupiter,Saturn,Mars,Mars has a reddish appearance due to iron oxide on its surface.
general-knowledge,medium,Who invented the light bulb?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Albert Einstein,Thomas Edison,Thomas Edison is credited with inventing the commercially viable light bulb.
general-knowledge,medium,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,The Pacific Ocean is the largest and deepest of Earth's oceanic divisions.
general-knowledge,hard,What is the square root of 144?,12,11,13,10,12,12*12 = 144.
general-knowledge,hard,What is the currency of Japan?,Yen,Dollar,Euro,Pound,Yen,The Japanese currency is the Yen.
general-knowledge,hard,What is the chemical symbol for iron?,Fe,Ir,In,I,Fe,"The chemical symbol for iron is Fe, from the Latin word 'ferrum'."
general-knowledge,easy,Which country is famous for the pyramids?,Egypt,Italy,Greece,China,Egypt,The Great Pyramids are located in Egypt.
general-knowledge,easy,What is the longest bone in the human body?,Femur,Humerus,Tibia,Fibula,Femur,"The femur, or thigh bone, is the longest bone."
general-knowledge,medium,What is the largest organ in the human body?,Skin,Heart,Brain,Lungs,Skin,The skin is the largest external and internal organ by area and weight.
current-affairs,easy,Who is the current President of the United States?,Joe Biden,Donald Trump,Barack Obama,George W. Bush,Joe Biden,Joe Biden is the 46th US President.
current-affairs,easy,Which country hosted the 2022 FIFA World Cup?,Qatar,Brazil,Germany,Russia,Qatar,Qatar hosted the 2022 FIFA World Cup.
current-affairs,medium,Who is the current Secretary-General of the United Nations?,António Guterres,Ban Ki-moon,Kofi Annan,Boutros Boutros-Ghali,António Guterres,António Guterres has been the Secretary-General since 2017.
current-affairs,medium,Which country recently launched the Artemis program to return to the moon?,USA,China,Russia,India,USA,NASA's Artemis program aims to return humans to the moon.
current-affairs,hard,Which company acquired Twitter in 2022?,X Corp,Meta,Google,Microsoft,X Corp,Elon Musk's X Corp acquired Twitter in 2022.
current-affairs,hard,Who won the Nobel Peace Prize in 2022?,Ales Bialiatski,Maria Ressa,World Food Programme,Denis Mukwege,Ales Bialiatski,Ales Bialiatski won for his human rights work in Belarus.
current-affairs,easy,Which city hosted the Summer Olympics in 2020 (held in 2021)?,Tokyo,Paris,London,Rio de Janeiro,Tokyo,The Tokyo 2020 Olympics were delayed due to the pandemic.
current-affairs,medium,Who is the current Prime Minister of the United Kingdom?,Rishi Sunak,Boris Johnson,Theresa May,David Cameron,Rishi Sunak,Rishi Sunak took office in 2022.
current-affairs,hard,What is the name of the new social media platform launched by Meta in 2023?,Threads,Bluesky,Mastodon,Spill,Threads,Meta launched Threads as a competitor to Twitter.
current-affairs,easy,Which country is the largest producer of crude oil?,USA,Saudi Arabia,Russia,China,USA,The USA is the world's leading crude oil producer.
current-affairs,easy,Who is the current Prime Minister of Canada?,Justin Trudeau,Stephen Harper,Paul Martin,Jean Chrétien,Justin Trudeau,Justin Trudeau is the 23rd Prime Minister of Canada.
current-affairs,medium,What major event occurred in the UK in September 2022?,Death of Queen Elizabeth II,A new Prime Minister was elected,The UK left the EU,A major heatwave,Death of Queen Elizabeth II,"Queen Elizabeth II passed away on September 8, 2022"
current-affairs,hard,Which country's currency has faced significant inflation in recent years,leading to a new 'revaluation'?,Venezuela,Argentina,Turkey,Lebanon,Venezuela. Venezuela has revalued its currency multiple times due to hyperinflation.
current-affairs,hard,Which country successfully landed a rover on Mars in 2021?,China,USA,Russia,UAE,China,China's Zhurong rover landed on Mars as part of the Tianwen-1 mission.
current-affairs,medium,Which European country is currently at war with Russia?,Ukraine,Poland,Germany,Finland,Ukraine,The Russian invasion of Ukraine began in February 2022.
current-affairs,easy,Who is the current Pope of the Catholic Church?,Pope Francis,Pope Benedict XVI,Pope John Paul II,Pope Paul VI,Pope Francis,Pope Francis was elected in 2013.
current-affairs,hard,What major global summit was held in Glasgow in 2021?,COP26,G7,G20,Davos Forum,COP26,COP26 was a major UN climate change conference.
current-affairs,easy,Which country won the most medals at the 2020 Summer Olympics?,USA,China,Japan,Great Britain,USA,The USA topped the medal table at the Tokyo 2020 Olympics.
current-affairs,medium,Who is the current Director-General of the World Health Organization (WHO)?,Tedros Adhanom Ghebreyesus,Margaret Chan,Gro Harlem Brundtland,Lee Jong-wook,Tedros Adhanom Ghebreyesus,Dr. Tedros is the current head of the WHO.
current-affairs,hard,Which country became the first in the world to fully legalize the recreational use of cannabis?,Uruguay,Canada,Netherlands,USA,Uruguay,Uruguay legalized cannabis in 2013.
fun-facts,easy,What is the only fruit that has its seeds on the outside?,Strawberry,Apple,Orange,Watermelon,Strawberry,A strawberry has its seeds on the outside.
fun-facts,easy,What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean.
fun-facts,medium,How long can a snail sleep for?,3 years,1 day,1 month,1 week,3 years,Snails can sleep for up to three years in hibernation.
