category,difficulty,question,option1,option2,option3,option4,answer,explanation
General Knowledge,Easy,What is the capital of France?,London,Berlin,Paris,Madrid,C,Paris is the capital and largest city of France
General Knowledge,Easy,How many days are there in a leap year?,365,366,367,364,B,Leap years have 366 days including February 29th
General Knowledge,Easy,What is the largest mammal in the world?,Elephant,Blue whale,Giraffe,Hippopotamus,B,Blue whales can reach up to 100 feet in length
General Knowledge,Easy,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,Mars appears red due to iron oxide on its surface
General Knowledge,Easy,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,A,Water molecule consists of two hydrogen and one oxygen atom
General Knowledge,Easy,How many continents are there?,5,6,7,8,C,Seven continents: Asia Africa North America South America Antarctica Europe Australia
General Knowledge,Easy,What is the largest ocean on Earth?,Atlantic,Pacific,Indian,Arctic,B,Pacific Ocean covers about 63 million square miles
General Knowledge,Easy,Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use CO2 for photosynthesis to produce oxygen
General Knowledge,Easy,What is the hardest natural substance?,Gold,Diamond,Iron,Quartz,B,Diamond rates 10 on the Mohs hardness scale
General Knowledge,Easy,How many legs does a spider have?,6,8,10,12,B,All spiders are arachnids with eight legs
General Knowledge,Medium,What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,B,Vatican City is 0.17 square miles in area
General Knowledge,Medium,Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D,UV rays help skin synthesize vitamin D from cholesterol
General Knowledge,Medium,What is the currency of Japan?,Yen,Won,Yuan,Rupiah,A,Japanese yen is the official currency of Japan
General Knowledge,Medium,Which organ in the human body produces insulin?,Liver,Kidney,Pancreas,Heart,C,Beta cells in pancreas produce insulin to regulate blood sugar
General Knowledge,Medium,What is the speed of light in vacuum?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,A,Speed of light is approximately 299792458 meters per second
General Knowledge,Medium,Which element has the atomic number 1?,Helium,Hydrogen,Lithium,Carbon,B,Hydrogen is the first element with one proton
General Knowledge,Medium,What is the largest desert in the world?,Sahara,Gobi,Antarctica,Arabian,C,Antarctica is technically the largest desert by area
General Knowledge,Medium,Which blood type is known as the universal donor?,A,B,AB,O,D,Type O blood can be donated to any blood type
General Knowledge,Medium,What is the boiling point of water at sea level?,90°C,95°C,100°C,105°C,C,Water boils at 100 degrees Celsius at standard pressure
General Knowledge,Medium,Which planet has the most moons?,Jupiter,Saturn,Uranus,Neptune,B,Saturn has 146 confirmed moons as of recent discoveries
General Knowledge,Hard,What is the Planck constant approximately?,6.626 × 10^-34 J⋅s,6.626 × 10^-27 J⋅s,6.626 × 10^-31 J⋅s,6.626 × 10^-38 J⋅s,A,Fundamental constant in quantum mechanics
General Knowledge,Hard,Which isotope of carbon is used for radiocarbon dating?,Carbon-12,Carbon-13,Carbon-14,Carbon-15,C,C-14 has a half-life of 5730 years useful for dating
General Knowledge,Hard,What is the pH of pure water at 25°C?,6,7,8,9,B,Pure water has a neutral pH of 7 at room temperature
General Knowledge,Hard,Which particle was theorized to give mass to other particles?,Photon,Higgs boson,Neutrino,Muon,B,Higgs boson explains mass through the Higgs field mechanism
General Knowledge,Hard,What is the escape velocity from Earth?,7.9 km/s,11.2 km/s,15.8 km/s,21.1 km/s,B,11.2 km/s needed to escape Earth's gravitational pull
General Knowledge,Hard,Which law states that pressure and volume are inversely proportional?,Charles' Law,Boyle's Law,Gay-Lussac's Law,Avogadro's Law,B,Boyle's Law applies at constant temperature
General Knowledge,Hard,What is the half-life of Uranium-238?,4.5 million years,4.5 billion years,45 million years,450 million years,B,U-238 has a half-life of 4.468 billion years
General Knowledge,Hard,Which enzyme unwinds DNA during replication?,Ligase,Polymerase,Helicase,Primase,C,DNA helicase breaks hydrogen bonds between base pairs
General Knowledge,Hard,What is the critical angle for total internal reflection in water?,42°,48°,35°,56°,B,Critical angle for water-air interface is about 48.6°
General Knowledge,Hard,Which quantum number determines the shape of an orbital?,Principal,Azimuthal,Magnetic,Spin,B,Azimuthal quantum number (l) determines orbital shape
Fun facts,Easy,Which animal never sleeps?,Giraffe,Elephant,Dolphin,Shark,D,Some shark species must keep moving to breathe
Fun facts,Easy,What color is a polar bear's skin?,White,Black,Pink,Brown,B,Polar bears have black skin under their white fur
Fun facts,Easy,How many hearts does an octopus have?,1,2,3,4,C,Octopuses have three hearts to pump blood efficiently
Fun facts,Easy,What is a group of flamingos called?,Flock,Colony,Flamboyance,Pack,C,A group of flamingos is called a flamboyance
Fun facts,Easy,Which fruit was once considered poisonous in Europe?,Apple,Tomato,Orange,Banana,B,Tomatoes were thought poisonous due to lead poisoning from plates
Fun facts,Easy,What percentage of the human body is water?,50%,60%,70%,80%,B,Adult human body is approximately 60% water
Fun facts,Easy,Which insect can lift 50 times its own weight?,Bee,Butterfly,Ant,Beetle,C,Ants are incredibly strong relative to their size
Fun facts,Easy,How long is a giraffe's tongue?,12 inches,18 inches,24 inches,30 inches,B,Giraffe tongues are 18-20 inches long and dark colored
Fun facts,Easy,What is the only mammal capable of true flight?,Flying squirrel,Sugar glider,Bat,Flying lemur,C,Bats are the only mammals with powered flight
Fun facts,Easy,Which bird can fly backwards?,Hummingbird,Eagle,Sparrow,Robin,A,Hummingbirds can hover and fly in any direction
Fun facts,Medium,What is the loudest animal on Earth?,Lion,Elephant,Blue whale,Howler monkey,C,Blue whales can produce sounds up to 188 decibels
Fun facts,Medium,Which animal has the longest pregnancy?,Elephant,Whale,Giraffe,Rhinoceros,A,Elephant pregnancy lasts about 22 months
Fun facts,Medium,What is the only food that never spoils?,Rice,Honey,Salt,Vinegar,B,Honey's low moisture and acidity prevent bacterial growth
Fun facts,Medium,Which planet rains diamonds?,Jupiter,Saturn,Neptune,Uranus,C,Neptune's extreme pressure creates diamond rain
Fun facts,Medium,How many times does a hummingbird's heart beat per minute?,500,800,1200,2000,C,Hummingbird hearts beat up to 1260 times per minute
Fun facts,Medium,What is the strongest muscle in the human body?,Bicep,Heart,Jaw,Tongue,C,Masseter jaw muscle can exert 200 pounds of force
Fun facts,Medium,Which animal has fingerprints most similar to humans?,Chimpanzee,Gorilla,Koala,Orangutan,C,Koala fingerprints are nearly identical to human ones
Fun facts,Medium,What percentage of Antarctica is covered by ice?,85%,90%,95%,98%,D,98% of Antarctica is covered by ice sheets
Fun facts,Medium,Which vegetable was originally purple?,Carrot,Potato,Eggplant,Cabbage,A,Original carrots were purple; orange varieties came later
Fun facts,Medium,How many bones are babies born with?,206,270,300,350,B,Babies are born with about 270 bones that fuse as they grow
Fun facts,Hard,What is the world's oldest known living tree species?,Redwood,Oak,Ginkgo,Baobab,C,Ginkgo trees have existed for 270 million years
Fun facts,Hard,Which animal has the highest blood pressure?,Elephant,Blue whale,Giraffe,Rhinoceros,C,Giraffes need high pressure to pump blood to their brain
Fun facts,Hard,What is the rarest blood type in the world?,AB-,Rh-null,Duffy negative,Diego positive,B,Rh-null blood lacks all Rh antigens
Fun facts,Hard,Which material is harder than diamond?,Graphene,Lonsdaleite,Wurtzite boron nitride,Aggregated diamond nanorods,D,ADNRs are 11% harder than diamond
Fun facts,Hard,What is the shortest war in history?,Anglo-Zanzibar War,Six-Day War,Falklands War,Gulf War,A,Anglo-Zanzibar War lasted 38-45 minutes in 1896
Fun facts,Hard,Which country has more time zones than any other?,Russia,United States,China,Canada,A,Russia spans 11 time zones across its territory
Fun facts,Hard,What is the most abundant gas in Earth's atmosphere?,Oxygen,Nitrogen,Carbon dioxide,Argon,B,Nitrogen makes up about 78% of Earth's atmosphere
Fun facts,Hard,Which ocean is expanding?,Atlantic,Pacific,Indian,Arctic,A,Atlantic Ocean grows 2-5 cm per year due to seafloor spreading
Fun facts,Hard,What is the world's most venomous creature?,Box jellyfish,Blue-ringed octopus,Cone snail,Sea wasp,A,Box jellyfish venom can kill a human in minutes
Fun facts,Hard,Which element was named after a planet?,Uranium,Neptune,Plutonium,Mercury,C,Plutonium was named after the dwarf planet Pluto
Science,Easy,What gas do plants release during photosynthesis?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,C,Plants convert CO2 and water into glucose and oxygen
Science,Easy,What is the center of an atom called?,Electron,Proton,Neutron,Nucleus,D,The nucleus contains protons and neutrons
Science,Easy,Which force keeps planets in orbit around the sun?,Magnetic force,Gravitational force,Electric force,Nuclear force,B,Gravity provides the centripetal force for orbital motion
Science,Easy,What is the chemical formula for salt?,NaCl,KCl,CaCl2,MgCl2,A,Table salt is sodium chloride (NaCl)
Science,Easy,Which blood vessels carry blood away from the heart?,Veins,Arteries,Capillaries,Lymph vessels,B,Arteries carry oxygenated blood from heart to tissues
Science,Easy,What is the unit of electric current?,Volt,Ampere,Ohm,Watt,B,Electric current is measured in amperes (A)
Science,Easy,Which organ filters blood in the human body?,Liver,Lung,Kidney,Heart,C,Kidneys filter waste products from blood
Science,Easy,What is the hardest part of the human body?,Bone,Tooth enamel,Nail,Cartilage,B,Tooth enamel is the hardest substance in the body
Science,Easy,Which gas makes up most of the air we breathe?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,C,Air is about 78% nitrogen and 21% oxygen
Science,Easy,What type of animal is a whale?,Fish,Mammal,Reptile,Amphibian,B,Whales are marine mammals that breathe air
Science,Medium,What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Endoplasmic reticulum,B,Mitochondria produce ATP energy for cellular processes
Science,Medium,Which scientist proposed the theory of evolution?,Isaac Newton,Charles Darwin,Albert Einstein,Gregor Mendel,B,Darwin proposed natural selection as evolution mechanism
Science,Medium,What is the study of earthquakes called?,Geology,Seismology,Meteorology,Oceanography,B,Seismology studies earthquakes and seismic waves
Science,Medium,Which element has the symbol Fe?,Iron,Fluorine,Francium,Fermium,A,Fe comes from Latin ferrum meaning iron
Science,Medium,What is the normal human body temperature in Celsius?,35°C,36°C,37°C,38°C,C,Normal body temperature is 37°C or 98.6°F
Science,Medium,Which part of the brain controls balance?,Cerebrum,Cerebellum,Brain stem,Hippocampus,B,Cerebellum coordinates movement and maintains balance
Science,Medium,What is the process of cell division called?,Meiosis,Mitosis,Osmosis,Diffusion,B,Mitosis produces two identical diploid cells
Science,Medium,Which type of radiation has the longest wavelength?,Gamma rays,X-rays,Visible light,Radio waves,D,Radio waves have wavelengths from meters to kilometers
Science,Medium,What is the chemical symbol for gold?,Au,Ag,Go,Gd,A,Au comes from Latin aurum meaning gold
Science,Medium,Which scientist developed the periodic table?,Marie Curie,Dmitri Mendeleev,Antoine Lavoisier,John Dalton,B,Mendeleev organized elements by atomic weight in 1869
Science,Hard,What is the name of the theoretical particle that mediates gravity?,Graviton,Gluon,Photon,Boson,A,Gravitons are hypothetical particles carrying gravitational force
Science,Hard,Which amino acid is encoded by only one codon?,Methionine,Alanine,Leucine,Serine,A,Methionine (AUG) is the only amino acid with one codon
Science,Hard,What is the quantum mechanical property of electron spin?,±1/4,±1/2,±1,±2,B,Electrons have spin quantum number of +1/2 or -1/2
Science,Hard,Which equation describes the relationship between energy and mass?,F=ma,E=hf,E=mc²,PV=nRT,C,Einstein's mass-energy equivalence equation
Science,Hard,What is the critical temperature for superconductivity in mercury?,4.2K,7.2K,9.2K,12.2K,A,Mercury becomes superconducting at 4.15 Kelvin
Science,Hard,Which enzyme catalyzes the first step of glycolysis?,Hexokinase,Phosphofructokinase,Aldolase,Pyruvate kinase,A,Hexokinase phosphorylates glucose to glucose-6-phosphate
Science,Hard,What is the wavelength of the hydrogen alpha line?,486 nm,656 nm,486 nm,434 nm,B,H-alpha line in Balmer series has wavelength 656.3 nm
Science,Hard,Which principle states that no two fermions can occupy the same quantum state?,Heisenberg principle,Pauli exclusion principle,Uncertainty principle,Complementarity principle,B,Pauli exclusion explains electron shell structure
Science,Hard,What is the binding energy of the deuteron?,1.1 MeV,2.2 MeV,3.3 MeV,4.4 MeV,B,Deuteron binding energy is 2.224 MeV
Science,Hard,Which protein unfolds other proteins during heat shock?,Chaperone,Protease,Kinase,Phosphatase,A,Heat shock proteins refold denatured proteins
History,Easy,Who was the first President of the United States?,Thomas Jefferson,George Washington,John Adams,Benjamin Franklin,B,Washington served as first US president from 1789-1797
History,Easy,In which year did World War II end?,1944,1945,1946,1947,B,WWII ended in 1945 with Japan's surrender in September
History,Easy,Which ancient wonder was located in Alexandria?,Hanging Gardens,Lighthouse,Colossus,Pyramids,B,The Lighthouse of Alexandria was one of Seven Wonders
